Date_User,Latitude_User,Longitude_User,AccelerometerX_User,AccelerometerY_User,AccelerometerZ_User
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.003616,-0.633011,-0.775055
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.004990,-0.635727,-0.775192
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.005661,-0.634109,-0.775909
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.007965,-0.634415,-0.776215
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.008972,-0.636246,-0.778732
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.005188,-0.635849,-0.778076
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.000427,-0.632858,-0.772919
14 January 2021 at 15:52:26 ,47.806646,7.175200,-0.002167,-0.629730,-0.773590
14 January 2021 at 15:52:26 ,47.806646,7.175200,-0.001572,-0.629532,-0.773224
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.001450,-0.631973,-0.773560
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.006180,-0.634720,-0.779510
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.008179,-0.637512,-0.780426
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.007050,-0.635986,-0.777832
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.004364,-0.634674,-0.776276
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.001984,-0.636719,-0.771164
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.001236,-0.635849,-0.769974
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.001755,-0.634155,-0.772766
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.002518,-0.632690,-0.774689
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.002625,-0.632767,-0.774521
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.001999,-0.630142,-0.777740
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.002686,-0.629913,-0.780716
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.002731,-0.633392,-0.780441
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.002029,-0.635651,-0.779114
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.001968,-0.636276,-0.775497
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.003189,-0.637756,-0.774918
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.003510,-0.636841,-0.778519
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.004837,-0.636154,-0.780075
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.005936,-0.633957,-0.779404
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.002319,-0.632446,-0.775574
14 January 2021 at 15:52:27 ,47.806646,7.175200,-0.000854,-0.630249,-0.771713
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.000824,-0.632645,-0.776459
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.002426,-0.636093,-0.775803
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.004761,-0.636459,-0.775467
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.005188,-0.634171,-0.777039
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.006836,-0.634171,-0.780151
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.003952,-0.635468,-0.778564
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.000046,-0.634293,-0.774368
14 January 2021 at 15:52:27 ,47.806646,7.175200,-0.000839,-0.632614,-0.771530
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.001968,-0.632141,-0.777039
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.005508,-0.634888,-0.785614
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.006012,-0.636719,-0.784760
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.003204,-0.636261,-0.779282
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.000504,-0.634552,-0.772964
14 January 2021 at 15:52:27 ,47.806646,7.175200,-0.000427,-0.633606,-0.771698
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.001099,-0.634460,-0.770325
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.003784,-0.633545,-0.772766
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.003693,-0.634613,-0.773651
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.004028,-0.635315,-0.774673
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.003708,-0.633240,-0.775223
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.001694,-0.632858,-0.775864
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.003738,-0.633728,-0.776230
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.002518,-0.635574,-0.774017
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.002014,-0.634155,-0.772339
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.002029,-0.632935,-0.775284
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.004562,-0.634216,-0.778442
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.006256,-0.632599,-0.785263
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.004623,-0.631516,-0.786880
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.002563,-0.633865,-0.785675
14 January 2021 at 15:52:27 ,47.806646,7.175200,-0.000473,-0.636185,-0.781235
14 January 2021 at 15:52:27 ,47.806646,7.175200,-0.000290,-0.637390,-0.778595
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.001541,-0.638245,-0.780579
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.005585,-0.638245,-0.780975
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.005829,-0.638123,-0.782135
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.006332,-0.638321,-0.778198
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.005829,-0.632751,-0.778519
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.003418,-0.633667,-0.784119
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.002975,-0.637833,-0.775497
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.001663,-0.633621,-0.772964
14 January 2021 at 15:52:27 ,47.806646,7.175200,-0.002151,-0.632614,-0.768524
14 January 2021 at 15:52:27 ,47.806646,7.175200,-0.001846,-0.633316,-0.766953
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.000854,-0.632721,-0.770905
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.004730,-0.632126,-0.775284
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.003082,-0.638748,-0.771576
14 January 2021 at 15:52:27 ,47.806646,7.175200,-0.003494,-0.636200,-0.728531
14 January 2021 at 15:52:27 ,47.806646,7.175200,-0.011078,-0.609207,-0.740112
14 January 2021 at 15:52:27 ,47.806646,7.175200,-0.006165,-0.618195,-0.777985
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.014465,-0.641296,-0.796265
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.015747,-0.657394,-0.794647
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.009323,-0.658295,-0.768997
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.000732,-0.651642,-0.755936
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.005722,-0.651505,-0.751801
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.012482,-0.631500,-0.762085
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.005051,-0.614334,-0.784698
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.001602,-0.613846,-0.802063
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.005142,-0.630722,-0.807602
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.005508,-0.650711,-0.802521
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.004868,-0.656891,-0.787216
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.001907,-0.651276,-0.774734
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.001877,-0.639954,-0.774551
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.006866,-0.630081,-0.781693
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.006073,-0.625305,-0.786758
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.004868,-0.625397,-0.782608
14 January 2021 at 15:52:27 ,47.806646,7.175200,-0.000900,-0.626617,-0.769302
14 January 2021 at 15:52:27 ,47.806646,7.175200,-0.001556,-0.631439,-0.762115
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.005569,-0.636658,-0.763977
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.009293,-0.643112,-0.764877
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.007553,-0.643158,-0.764252
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.003418,-0.637222,-0.763443
14 January 2021 at 15:52:27 ,47.806646,7.175200,-0.000839,-0.631485,-0.765854
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.000610,-0.629242,-0.773270
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.004181,-0.632233,-0.777725
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.004227,-0.635529,-0.778503
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.001251,-0.635162,-0.781281
14 January 2021 at 15:52:27 ,47.806646,7.175200,-0.000671,-0.635757,-0.777100
14 January 2021 at 15:52:27 ,47.806682,7.175246,-0.001617,-0.637527,-0.771530
14 January 2021 at 15:52:27 ,47.806682,7.175246,0.002243,-0.636566,-0.777206
14 January 2021 at 15:52:27 ,47.806682,7.175246,0.007690,-0.638535,-0.783966
14 January 2021 at 15:52:27 ,47.806682,7.175246,0.008728,-0.639938,-0.785065
14 January 2021 at 15:52:27 ,47.806682,7.175246,0.006760,-0.637955,-0.783295
14 January 2021 at 15:52:27 ,47.806682,7.175246,0.003952,-0.636429,-0.778137
14 January 2021 at 15:52:27 ,47.806682,7.175246,0.001450,-0.635956,-0.775146
14 January 2021 at 15:52:27 ,47.806682,7.175246,0.002884,-0.634247,-0.775101
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.003433,-0.634048,-0.772629
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.002258,-0.633652,-0.767838
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.000946,-0.632523,-0.762299
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.001328,-0.632294,-0.766846
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.002655,-0.634552,-0.768845
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.004303,-0.636627,-0.771667
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.005554,-0.639084,-0.773590
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.000626,-0.638046,-0.768021
14 January 2021 at 15:52:28 ,47.806682,7.175246,-0.011292,-0.632523,-0.754898
14 January 2021 at 15:52:28 ,47.806682,7.175246,-0.014008,-0.617126,-0.735184
14 January 2021 at 15:52:28 ,47.806682,7.175246,-0.014328,-0.610153,-0.718826
14 January 2021 at 15:52:28 ,47.806682,7.175246,-0.003906,-0.615311,-0.714294
14 January 2021 at 15:52:28 ,47.806682,7.175246,-0.002121,-0.608704,-0.698288
14 January 2021 at 15:52:28 ,47.806682,7.175246,-0.009689,-0.629089,-0.660049
14 January 2021 at 15:52:28 ,47.806682,7.175246,-0.018524,-0.602417,-0.608063
14 January 2021 at 15:52:28 ,47.806682,7.175246,-0.035309,-0.587341,-0.583633
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.030716,-0.592331,-0.641800
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.029510,-0.615707,-0.794601
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.068939,-0.646210,-0.912994
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.095154,-0.684128,-0.974106
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.118790,-0.721664,-0.881256
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.160919,-0.793823,-0.843155
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.135300,-0.722748,-0.856354
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.110657,-0.681671,-0.834015
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.098663,-0.675705,-0.799118
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.095657,-0.665588,-0.802490
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.068558,-0.658859,-0.802017
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.058212,-0.653641,-0.808365
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.079498,-0.657898,-0.832687
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.082123,-0.679733,-0.855591
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.079880,-0.670029,-0.888428
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.060913,-0.640640,-0.855698
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.039856,-0.620773,-0.784622
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.040146,-0.611511,-0.785110
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.031281,-0.621887,-0.741470
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.023987,-0.624039,-0.697632
14 January 2021 at 15:52:28 ,47.806682,7.175246,0.031006,-0.606766,-0.677155
14 January 2021 at 15:52:28 ,47.806660,7.175211,0.054138,-0.628204,-0.669357
14 January 2021 at 15:52:28 ,47.806660,7.175211,0.112778,-0.664749,-0.684280
14 January 2021 at 15:52:28 ,47.806660,7.175211,0.123596,-0.674500,-0.653412
14 January 2021 at 15:52:28 ,47.806660,7.175211,0.125854,-0.676498,-0.665436
14 January 2021 at 15:52:28 ,47.806660,7.175211,0.118668,-0.686035,-0.636856
14 January 2021 at 15:52:28 ,47.806660,7.175211,0.107498,-0.673538,-0.634583
14 January 2021 at 15:52:28 ,47.806660,7.175211,0.110397,-0.681366,-0.658768
14 January 2021 at 15:52:28 ,47.806660,7.175211,0.137115,-0.696136,-0.671982
14 January 2021 at 15:52:28 ,47.806660,7.175211,0.145798,-0.717239,-0.677155
14 January 2021 at 15:52:28 ,47.806660,7.175211,0.133728,-0.717422,-0.697479
14 January 2021 at 15:52:28 ,47.806660,7.175211,0.113632,-0.707489,-0.715103
14 January 2021 at 15:52:28 ,47.806660,7.175211,0.101135,-0.685486,-0.729477
14 January 2021 at 15:52:28 ,47.806660,7.175211,0.097092,-0.693939,-0.752350
14 January 2021 at 15:52:28 ,47.806660,7.175211,0.095337,-0.685043,-0.749268
14 January 2021 at 15:52:28 ,47.806660,7.175211,0.081863,-0.673309,-0.750336
